date,level,water_temperature,atmo,atmo_temperature,wl_clean
2022-08-17 09:00:00,NA,17.284,64.941,7.782,NA
2022-08-17 10:00:00,NA,12.594,64.918,5.141,NA
2022-08-17 11:00:00,67.966,2.624,64.904,5.347,3.062
2022-08-17 12:00:00,68.192,3.155,64.943,6.064,3.249
2022-08-17 13:00:00,68.876,2.943,64.93,7.179,3.946
2022-08-17 14:00:00,69.85,2.41,64.93,8.082,4.91999999999999
2022-08-17 15:00:00,70.643,1.98,64.945,8.481,5.69800000000001
2022-08-17 16:00:00,70.715,1.872,64.944,9.077,5.771
2022-08-17 17:00:00,70.87,1.439,65.022,10.944,5.848
2022-08-17 18:00:00,69.359,1.221,65.014,9.768,4.345
2022-08-17 19:00:00,68.818,1.221,65.047,9.768,3.771
2022-08-17 20:00:00,68.584,0.784,65.13,8.978,3.45400000000001
2022-08-17 21:00:00,68.364,0.674,65.12,8.082,3.244
2022-08-17 22:00:00,68.266,0.674,65.127,7.682,3.13900000000001
2022-08-17 23:00:00,68.158,0.674,65.075,7.481,3.083
2022-08-18 00:00:00,68.154,0.563,65.045,6.978,3.10899999999999
2022-08-18 01:00:00,68.03,0.453,65.007,6.573,3.023
2022-08-18 02:00:00,67.976,0.453,64.954,6.064,3.02200000000001
2022-08-18 03:00:00,67.901,0.453,64.931,5.757,2.97
2022-08-18 04:00:00,67.896,0.343,64.93,5.45,2.96599999999999
2022-08-18 05:00:00,67.864,0.343,64.925,5.037,2.93900000000001
2022-08-18 06:00:00,67.875,0.343,64.913,4.727,2.962
2022-08-18 07:00:00,67.918,0.343,64.927,4.519,2.991
2022-08-18 08:00:00,67.916,0.563,64.949,4.519,2.967
2022-08-18 09:00:00,67.94,1.439,64.944,4.934,2.996
2022-08-18 10:00:00,67.888,2.303,64.972,5.655,2.91600000000001
2022-08-18 11:00:00,68.863,2.624,64.974,6.877,3.889
2022-08-18 12:00:00,70.477,2.41,64.945,8.481,5.53200000000001
2022-08-18 13:00:00,70.691,2.088,64.917,9.866,5.774
2022-08-18 14:00:00,69.763,1.33,64.846,9.768,4.917
2022-08-18 15:00:00,69.168,2.41,64.872,11.139,4.29600000000001
2022-08-18 16:00:00,70.542,1.872,64.855,11.625,5.687
2022-08-18 17:00:00,69.514,1.33,64.849,11.431,4.66499999999999
2022-08-18 18:00:00,68.762,1.439,64.849,11.431,3.913
2022-08-18 19:00:00,68.656,1.221,64.869,11.041,3.78700000000001
2022-08-18 20:00:00,68.334,1.003,64.927,10.455,3.407
2022-08-18 21:00:00,68.135,0.893,64.943,9.965,3.19200000000001
2022-08-18 22:00:00,68.044,0.784,64.922,9.373,3.122
2022-08-18 23:00:00,67.953,0.674,64.878,8.779,3.075
2022-08-19 00:00:00,67.862,0.563,64.848,8.282,3.014
2022-08-19 01:00:00,67.851,0.563,64.826,7.682,3.02500000000001
2022-08-19 02:00:00,67.765,0.563,64.815,7.381,2.95
2022-08-19 03:00:00,67.776,0.563,64.8,6.978,2.976
2022-08-19 04:00:00,67.749,0.453,64.796,6.573,2.95299999999999
2022-08-19 05:00:00,67.717,0.453,64.791,6.166,2.926
2022-08-19 06:00:00,67.669,0.343,64.768,5.86,2.901
2022-08-19 07:00:00,67.691,0.343,64.791,5.86,2.90000000000001
2022-08-19 08:00:00,67.711,0.563,64.802,5.86,2.90899999999999
2022-08-19 09:00:00,67.735,1.439,64.821,6.37,2.914
2022-08-19 10:00:00,67.882,2.41,64.841,7.179,3.04100000000001
2022-08-19 11:00:00,69.287,2.41,64.823,8.182,4.46400000000001
2022-08-19 12:00:00,69.804,2.088,64.802,9.472,5.002
2022-08-19 13:00:00,70.525,2.517,64.811,10.651,5.714
2022-08-19 14:00:00,71.162,1.98,64.808,11.528,6.354
2022-08-19 15:00:00,70.414,2.195,64.77,12.401,5.64400000000001
2022-08-19 16:00:00,70.317,2.195,64.777,13.269,5.53999999999999
2022-08-19 17:00:00,70.857,1.656,64.777,14.325,6.08
2022-08-19 18:00:00,70.066,1.33,64.791,13.365,5.27500000000001
2022-08-19 19:00:00,69.099,1.221,64.793,13.076,4.306
2022-08-19 20:00:00,68.528,1.003,64.788,12.594,3.74000000000001
2022-08-19 21:00:00,68.167,0.893,64.829,11.819,3.33800000000001
2022-08-19 22:00:00,67.903,0.784,64.791,11.041,3.11200000000001
2022-08-19 23:00:00,67.882,0.784,64.765,9.669,3.117
2022-08-20 00:00:00,67.877,0.674,64.729,8.978,3.148
2022-08-20 01:00:00,67.743,0.563,64.733,8.481,3.00999999999999
2022-08-20 02:00:00,67.695,0.453,64.67,7.682,3.02499999999999
2022-08-20 03:00:00,67.62,0.453,64.67,7.079,2.95
2022-08-20 04:00:00,67.609,0.453,64.651,6.877,2.958
2022-08-20 05:00:00,67.544,0.453,64.591,6.471,2.953
2022-08-20 06:00:00,67.507,0.343,64.601,5.86,2.90600000000001
2022-08-20 07:00:00,67.507,0.343,64.585,5.45,2.92200000000001
2022-08-20 08:00:00,67.501,0.453,64.578,5.552,2.923
2022-08-20 09:00:00,67.521,1.221,64.58,6.166,2.941
2022-08-20 10:00:00,67.573,1.98,64.581,7.079,2.99199999999999
2022-08-20 11:00:00,68.636,2.624,64.6,8.182,4.036
2022-08-20 12:00:00,70.09,2.195,64.598,9.669,5.492
2022-08-20 13:00:00,70.734,2.088,64.568,11.041,6.166
2022-08-20 14:00:00,71.173,1.98,64.548,12.11,6.625
2022-08-20 15:00:00,70.92,1.872,64.528,12.497,6.392
2022-08-20 16:00:00,70.546,1.439,64.521,12.304,6.02500000000001
2022-08-20 17:00:00,69.893,1.33,64.521,12.304,5.372
