"Plot Title: 21411021"
"#","Date Time, GMT+06:00","Abs Pres, kPa (LGR S/N: 21411021, SEN S/N: 21411021)","Temp, °C (LGR S/N: 21411021, SEN S/N: 21411021)","Coupler Detached (LGR S/N: 21411021)","Coupler Attached (LGR S/N: 21411021)","Host Connected (LGR S/N: 21411021)","Stopped (LGR S/N: 21411021)","End Of File (LGR S/N: 21411021)"
1,08/17/2022 09:00:00 AM,65.185,17.284,Logged,,,,
2,08/17/2022 10:00:00 AM,67.808,12.594,,,,,
3,08/17/2022 11:00:00 AM,67.966,2.624,,,,,
4,08/17/2022 12:00:00 PM,68.192,3.155,,,,,
5,08/17/2022 01:00:00 PM,68.876,2.943,,,,,
6,08/17/2022 02:00:00 PM,69.850,2.410,,,,,
7,08/17/2022 03:00:00 PM,70.643,1.980,,,,,
8,08/17/2022 04:00:00 PM,70.715,1.872,,,,,
9,08/17/2022 05:00:00 PM,70.870,1.439,,,,,
10,08/17/2022 06:00:00 PM,69.359,1.221,,,,,
11,08/17/2022 07:00:00 PM,68.818,1.221,,,,,
12,08/17/2022 08:00:00 PM,68.584,0.784,,,,,
13,08/17/2022 09:00:00 PM,68.364,0.674,,,,,
14,08/17/2022 10:00:00 PM,68.266,0.674,,,,,
15,08/17/2022 11:00:00 PM,68.158,0.674,,,,,
16,08/18/2022 12:00:00 AM,68.154,0.563,,,,,
17,08/18/2022 01:00:00 AM,68.030,0.453,,,,,
18,08/18/2022 02:00:00 AM,67.976,0.453,,,,,
19,08/18/2022 03:00:00 AM,67.901,0.453,,,,,
20,08/18/2022 04:00:00 AM,67.896,0.343,,,,,
21,08/18/2022 05:00:00 AM,67.864,0.343,,,,,
22,08/18/2022 06:00:00 AM,67.875,0.343,,,,,
23,08/18/2022 07:00:00 AM,67.918,0.343,,,,,
24,08/18/2022 08:00:00 AM,67.916,0.563,,,,,
25,08/18/2022 09:00:00 AM,67.940,1.439,,,,,
26,08/18/2022 10:00:00 AM,67.888,2.303,,,,,
27,08/18/2022 11:00:00 AM,68.863,2.624,,,,,
28,08/18/2022 12:00:00 PM,70.477,2.410,,,,,
29,08/18/2022 01:00:00 PM,70.691,2.088,,,,,
30,08/18/2022 02:00:00 PM,69.763,1.330,,,,,
31,08/18/2022 03:00:00 PM,69.168,2.410,,,,,
32,08/18/2022 04:00:00 PM,70.542,1.872,,,,,
33,08/18/2022 05:00:00 PM,69.514,1.330,,,,,
34,08/18/2022 06:00:00 PM,68.762,1.439,,,,,
35,08/18/2022 07:00:00 PM,68.656,1.221,,,,,
36,08/18/2022 08:00:00 PM,68.334,1.003,,,,,
37,08/18/2022 09:00:00 PM,68.135,0.893,,,,,
38,08/18/2022 10:00:00 PM,68.044,0.784,,,,,
39,08/18/2022 11:00:00 PM,67.953,0.674,,,,,
40,08/19/2022 12:00:00 AM,67.862,0.563,,,,,
41,08/19/2022 01:00:00 AM,67.851,0.563,,,,,
42,08/19/2022 02:00:00 AM,67.765,0.563,,,,,
43,08/19/2022 03:00:00 AM,67.776,0.563,,,,,
44,08/19/2022 04:00:00 AM,67.749,0.453,,,,,
45,08/19/2022 05:00:00 AM,67.717,0.453,,,,,
46,08/19/2022 06:00:00 AM,67.669,0.343,,,,,
47,08/19/2022 07:00:00 AM,67.691,0.343,,,,,
48,08/19/2022 08:00:00 AM,67.711,0.563,,,,,
49,08/19/2022 09:00:00 AM,67.735,1.439,,,,,
50,08/19/2022 10:00:00 AM,67.882,2.410,,,,,
51,08/19/2022 11:00:00 AM,69.287,2.410,,,,,
52,08/19/2022 12:00:00 PM,69.804,2.088,,,,,
53,08/19/2022 01:00:00 PM,70.525,2.517,,,,,
54,08/19/2022 02:00:00 PM,71.162,1.980,,,,,
55,08/19/2022 03:00:00 PM,70.414,2.195,,,,,
56,08/19/2022 04:00:00 PM,70.317,2.195,,,,,
57,08/19/2022 05:00:00 PM,70.857,1.656,,,,,
58,08/19/2022 06:00:00 PM,70.066,1.330,,,,,
59,08/19/2022 07:00:00 PM,69.099,1.221,,,,,
60,08/19/2022 08:00:00 PM,68.528,1.003,,,,,
61,08/19/2022 09:00:00 PM,68.167,0.893,,,,,
62,08/19/2022 10:00:00 PM,67.903,0.784,,,,,
63,08/19/2022 11:00:00 PM,67.882,0.784,,,,,
64,08/20/2022 12:00:00 AM,67.877,0.674,,,,,
65,08/20/2022 01:00:00 AM,67.743,0.563,,,,,
66,08/20/2022 02:00:00 AM,67.695,0.453,,,,,
67,08/20/2022 03:00:00 AM,67.620,0.453,,,,,
68,08/20/2022 04:00:00 AM,67.609,0.453,,,,,
