"Plot Title: 10778182"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 10778182, SEN S/N: 10778182)","Temp, °C (LGR S/N: 10778182, SEN S/N: 10778182)","Coupler Detached (LGR S/N: 10778182)","End Of File (LGR S/N: 10778182)"
1,07/25/2019 12:00:00 AM,99.197,25.708,Logged,
2,07/25/2019 01:00:00 AM,99.206,25.319,,
3,07/25/2019 02:00:00 AM,99.179,25.125,,
4,07/25/2019 03:00:00 AM,99.181,24.835,,
5,07/25/2019 04:00:00 AM,99.219,24.738,,
6,07/25/2019 05:00:00 AM,99.247,24.641,,
7,07/25/2019 06:00:00 AM,99.265,24.545,,
8,07/25/2019 07:00:00 AM,99.283,24.448,,
9,07/25/2019 08:00:00 AM,99.311,24.351,,
10,07/25/2019 09:00:00 AM,99.321,24.351,,
11,07/25/2019 10:00:00 AM,99.339,24.255,,
12,07/25/2019 11:00:00 AM,99.381,24.255,,
13,07/25/2019 12:00:00 PM,99.360,24.255,,
14,07/25/2019 01:00:00 PM,99.409,24.158,,
15,07/25/2019 02:00:00 PM,99.419,24.158,,
16,07/25/2019 03:00:00 PM,99.429,24.158,,
17,07/25/2019 04:00:00 PM,99.409,24.158,,
18,07/25/2019 05:00:00 PM,99.429,24.158,,
19,07/25/2019 06:00:00 PM,99.398,24.158,,
20,07/25/2019 07:00:00 PM,99.429,24.158,,
21,07/25/2019 08:00:00 PM,99.460,24.158,,
22,07/25/2019 09:00:00 PM,78.293,24.062,,
23,07/25/2019 10:00:00 PM,77.742,23.388,,
24,07/25/2019 11:00:00 PM,77.728,22.333,,
25,07/26/2019 12:00:00 AM,90.624,21.282,,
26,07/26/2019 01:00:00 AM,89.485,21.091,,
27,07/26/2019 02:00:00 AM,89.444,21.855,,
28,07/26/2019 03:00:00 AM,89.462,22.525,,
29,07/26/2019 04:00:00 AM,89.444,23.004,,
30,07/26/2019 05:00:00 AM,89.457,25.028,,
31,07/26/2019 06:00:00 AM,88.498,26.195,,
32,07/26/2019 07:00:00 AM,80.762,26.488,,
33,07/26/2019 08:00:00 AM,74.886,26.781,,
34,07/26/2019 09:00:00 AM,69.240,25.708,,
35,07/26/2019 10:00:00 AM,70.574,26.000,,
36,07/26/2019 11:00:00 AM,75.051,27.272,,
37,07/26/2019 12:00:00 PM,75.033,26.488,,
38,07/26/2019 01:00:00 PM,75.020,25.902,,
39,07/26/2019 02:00:00 PM,75.010,25.028,,
40,07/26/2019 03:00:00 PM,75.036,24.351,,
41,07/26/2019 04:00:00 PM,75.066,23.869,,
42,07/26/2019 05:00:00 PM,75.150,23.484,,
43,07/26/2019 06:00:00 PM,75.195,23.196,,
44,07/26/2019 07:00:00 PM,75.245,23.100,,
45,07/26/2019 08:00:00 PM,75.281,22.908,,
46,07/26/2019 09:00:00 PM,75.298,22.717,,
47,07/26/2019 10:00:00 PM,75.293,22.525,,
48,07/26/2019 11:00:00 PM,75.289,22.333,,
49,07/27/2019 12:00:00 AM,75.305,22.142,,
50,07/27/2019 01:00:00 AM,75.319,21.855,,
51,07/27/2019 02:00:00 AM,75.352,21.473,,
52,07/27/2019 03:00:00 AM,75.345,21.187,,
53,07/27/2019 04:00:00 AM,75.676,20.805,,
54,07/27/2019 05:00:00 AM,73.514,20.234,,
55,07/27/2019 06:00:00 AM,68.748,21.855,,
56,07/27/2019 07:00:00 AM,68.105,24.545,,
57,07/27/2019 08:00:00 AM,68.062,27.468,,
58,07/27/2019 09:00:00 AM,68.069,30.255,,
59,07/27/2019 10:00:00 AM,67.439,30.659,,
60,07/27/2019 11:00:00 AM,67.006,29.652,,
61,07/27/2019 12:00:00 PM,66.734,28.456,,
62,07/27/2019 01:00:00 PM,66.757,27.567,,
63,07/27/2019 02:00:00 PM,66.766,26.977,,
64,07/27/2019 03:00:00 PM,66.782,26.292,,
65,07/27/2019 04:00:00 PM,66.820,25.125,,
66,07/27/2019 05:00:00 PM,66.855,23.773,,
67,07/27/2019 06:00:00 PM,66.881,22.525,,
68,07/27/2019 07:00:00 PM,66.909,21.378,,
69,07/27/2019 08:00:00 PM,66.896,20.234,,
70,07/27/2019 09:00:00 PM,66.884,19.092,,
71,07/27/2019 10:00:00 PM,66.875,18.140,,
72,07/27/2019 11:00:00 PM,66.849,17.379,,
73,07/28/2019 12:00:00 AM,66.832,16.523,,
74,07/28/2019 01:00:00 AM,66.846,15.664,,
75,07/28/2019 02:00:00 AM,66.882,14.900,,
76,07/28/2019 03:00:00 AM,66.918,14.134,,
77,07/28/2019 04:00:00 AM,66.931,13.750,,
78,07/28/2019 05:00:00 AM,66.759,13.846,,
79,07/28/2019 06:00:00 AM,65.349,14.613,,
80,07/28/2019 07:00:00 AM,63.890,15.569,,
81,07/28/2019 08:00:00 AM,63.891,16.141,,
82,07/28/2019 09:00:00 AM,63.891,16.713,,
83,07/28/2019 10:00:00 AM,63.897,19.187,,
84,07/28/2019 11:00:00 AM,63.863,25.902,,
85,07/28/2019 12:00:00 PM,63.878,28.754,,
86,07/28/2019 01:00:00 PM,63.875,30.154,,
87,07/28/2019 02:00:00 PM,63.850,28.357,,
88,07/28/2019 03:00:00 PM,63.877,27.665,,
89,07/28/2019 04:00:00 PM,63.919,24.545,,
90,07/28/2019 05:00:00 PM,63.951,12.787,,
91,07/28/2019 06:00:00 PM,63.994,12.401,,
92,07/28/2019 07:00:00 PM,64.021,11.625,,
93,07/28/2019 08:00:00 PM,64.027,10.846,,
94,07/28/2019 09:00:00 PM,63.990,9.965,,
95,07/28/2019 10:00:00 PM,64.004,9.077,,
96,07/28/2019 11:00:00 PM,63.983,8.481,,
97,07/29/2019 12:00:00 AM,64.006,8.082,,
98,07/29/2019 01:00:00 AM,64.031,7.782,,
99,07/29/2019 02:00:00 AM,64.055,7.381,,
100,07/29/2019 03:00:00 AM,64.091,7.682,,
101,07/29/2019 04:00:00 AM,64.118,7.481,,
102,07/29/2019 05:00:00 AM,64.120,8.680,,
103,07/29/2019 06:00:00 AM,64.136,12.304,,
104,07/29/2019 07:00:00 AM,64.160,14.134,,
105,07/29/2019 08:00:00 AM,64.165,15.473,,
106,07/29/2019 09:00:00 AM,64.149,16.237,,
107,07/29/2019 10:00:00 AM,64.132,17.475,,
108,07/29/2019 11:00:00 AM,64.114,18.711,,
109,07/29/2019 12:00:00 PM,64.136,19.853,,
110,07/29/2019 01:00:00 PM,64.115,20.901,,
111,07/29/2019 02:00:00 PM,64.126,21.473,,
112,07/29/2019 03:00:00 PM,64.107,20.996,,
113,07/29/2019 04:00:00 PM,64.122,18.045,,
114,07/29/2019 05:00:00 PM,64.150,15.187,,
115,07/29/2019 06:00:00 PM,64.171,13.076,,
116,07/29/2019 07:00:00 PM,64.186,11.139,,
117,07/29/2019 08:00:00 PM,64.173,9.373,,
118,07/29/2019 09:00:00 PM,64.169,8.581,,
119,07/29/2019 10:00:00 PM,64.139,8.082,,
120,07/29/2019 11:00:00 PM,64.130,7.582,,
121,07/30/2019 12:00:00 AM,64.119,6.978,,
122,07/30/2019 01:00:00 AM,64.113,6.674,,
123,07/30/2019 02:00:00 AM,64.110,6.471,,
124,07/30/2019 03:00:00 AM,64.128,6.370,,
125,07/30/2019 04:00:00 AM,64.150,6.471,,
126,07/30/2019 05:00:00 AM,64.156,6.775,,
127,07/30/2019 06:00:00 AM,64.165,9.472,,
128,07/30/2019 07:00:00 AM,64.184,12.110,,
129,07/30/2019 08:00:00 AM,64.204,13.750,,
130,07/30/2019 09:00:00 AM,64.162,15.282,,
131,07/30/2019 10:00:00 AM,64.160,16.808,,
132,07/30/2019 11:00:00 AM,64.140,18.426,,
133,07/30/2019 12:00:00 PM,64.115,20.329,,
134,07/30/2019 01:00:00 PM,64.111,21.187,,
135,07/30/2019 02:00:00 PM,64.120,20.615,,
136,07/30/2019 03:00:00 PM,64.132,19.662,,
137,07/30/2019 04:00:00 PM,64.138,18.901,,
138,07/30/2019 05:00:00 PM,64.171,16.332,,
139,07/30/2019 06:00:00 PM,64.191,14.134,,
140,07/30/2019 07:00:00 PM,64.179,12.401,,
141,07/30/2019 08:00:00 PM,64.150,10.846,,
142,07/30/2019 09:00:00 PM,64.126,9.571,,
143,07/30/2019 10:00:00 PM,64.097,8.581,,
144,07/30/2019 11:00:00 PM,64.074,7.882,,
145,07/31/2019 12:00:00 AM,64.043,7.280,,
146,07/31/2019 01:00:00 AM,64.013,6.775,,
147,07/31/2019 02:00:00 AM,64.019,6.573,,
148,07/31/2019 03:00:00 AM,64.036,6.370,,
149,07/31/2019 04:00:00 AM,64.034,6.268,,
150,07/31/2019 05:00:00 AM,64.046,6.370,,
151,07/31/2019 06:00:00 AM,64.048,7.582,,
152,07/31/2019 07:00:00 AM,64.068,8.680,,
153,07/31/2019 08:00:00 AM,64.044,9.571,,
154,07/31/2019 09:00:00 AM,64.084,10.063,,
155,07/31/2019 10:00:00 AM,64.073,11.139,,
156,07/31/2019 11:00:00 AM,64.069,12.013,,
157,07/31/2019 12:00:00 PM,64.087,12.401,,
158,07/31/2019 01:00:00 PM,64.076,11.819,,
159,07/31/2019 02:00:00 PM,64.064,12.304,,
160,07/31/2019 03:00:00 PM,64.074,11.722,,
161,07/31/2019 04:00:00 PM,64.084,11.139,,
162,07/31/2019 05:00:00 PM,64.094,10.063,,
163,07/31/2019 06:00:00 PM,64.102,9.373,,
164,07/31/2019 07:00:00 PM,64.079,8.680,,
165,07/31/2019 08:00:00 PM,64.035,7.983,,
166,07/31/2019 09:00:00 PM,64.000,7.179,,
167,07/31/2019 10:00:00 PM,63.964,6.370,,
168,07/31/2019 11:00:00 PM,63.939,5.552,,
169,08/01/2019 12:00:00 AM,63.899,5.037,,
170,08/01/2019 01:00:00 AM,63.875,4.831,,
171,08/01/2019 02:00:00 AM,63.895,4.831,,
172,08/01/2019 03:00:00 AM,63.909,5.037,,
173,08/01/2019 04:00:00 AM,63.905,5.347,,
174,08/01/2019 05:00:00 AM,63.890,7.882,,
175,08/01/2019 06:00:00 AM,63.902,11.819,,
176,08/01/2019 07:00:00 AM,64.855,14.517,,
177,08/01/2019 08:00:00 AM,67.221,17.475,,
178,08/01/2019 09:00:00 AM,68.183,19.853,,
179,08/01/2019 10:00:00 AM,68.256,22.429,,
180,08/01/2019 11:00:00 AM,68.257,24.931,,
181,08/01/2019 12:00:00 PM,72.227,25.805,,
182,08/01/2019 01:00:00 PM,75.217,26.390,,
183,08/01/2019 02:00:00 PM,75.252,27.468,,
184,08/01/2019 03:00:00 PM,75.274,26.195,,
185,08/01/2019 04:00:00 PM,75.267,24.545,,
186,08/01/2019 05:00:00 PM,75.371,23.677,,
187,08/01/2019 06:00:00 PM,75.467,23.388,,
188,08/01/2019 07:00:00 PM,75.496,23.292,,
189,08/01/2019 08:00:00 PM,75.553,23.100,,
190,08/01/2019 09:00:00 PM,75.536,22.812,,
191,08/01/2019 10:00:00 PM,75.507,22.429,,
192,08/01/2019 11:00:00 PM,75.488,22.046,,
193,08/02/2019 12:00:00 AM,75.488,21.569,,
194,08/02/2019 01:00:00 AM,75.479,21.187,,
195,08/02/2019 02:00:00 AM,75.520,20.710,,
196,08/02/2019 03:00:00 AM,75.540,20.234,,
197,08/02/2019 04:00:00 AM,75.570,19.758,,
198,08/02/2019 05:00:00 AM,75.565,19.092,,
199,08/02/2019 06:00:00 AM,72.258,19.187,,
200,08/02/2019 07:00:00 AM,69.803,18.711,,
201,08/02/2019 08:00:00 AM,82.954,18.045,,
202,08/02/2019 09:00:00 AM,79.280,19.662,,
203,08/02/2019 10:00:00 AM,89.645,21.664,,
204,08/02/2019 11:00:00 AM,89.610,26.097,,
205,08/02/2019 12:00:00 PM,89.798,30.356,,
206,08/02/2019 01:00:00 PM,92.248,32.291,,
207,08/02/2019 02:00:00 PM,91.583,33.639,,
208,08/02/2019 03:00:00 PM,91.589,34.585,,
209,08/02/2019 04:00:00 PM,91.611,35.009,,
210,08/02/2019 05:00:00 PM,91.662,34.585,,
211,08/02/2019 06:00:00 PM,91.690,33.014,,
212,08/02/2019 07:00:00 PM,91.700,31.166,,
213,08/02/2019 08:00:00 PM,91.673,29.452,,
214,08/02/2019 09:00:00 PM,91.663,27.961,,
215,08/02/2019 10:00:00 PM,91.648,26.683,,
216,08/02/2019 11:00:00 PM,91.608,25.610,,
217,08/03/2019 12:00:00 AM,91.612,24.641,,
218,08/03/2019 01:00:00 AM,91.614,23.966,,
219,08/03/2019 02:00:00 AM,91.619,23.388,,
220,08/03/2019 03:00:00 AM,91.657,22.908,,
221,08/03/2019 04:00:00 AM,92.178,22.717,,
222,08/03/2019 05:00:00 AM,93.509,23.869,,
223,08/03/2019 06:00:00 AM,92.818,26.097,,
224,08/03/2019 07:00:00 AM,90.173,27.862,,
225,08/03/2019 08:00:00 AM,90.355,28.853,,
226,08/03/2019 09:00:00 AM,86.970,29.652,,
227,08/03/2019 10:00:00 AM,83.293,30.760,,
228,08/03/2019 11:00:00 AM,71.639,31.370,,
229,08/03/2019 12:00:00 PM,77.332,29.152,,
230,08/03/2019 01:00:00 PM,77.364,28.357,,
231,08/03/2019 02:00:00 PM,77.342,27.862,,
232,08/03/2019 03:00:00 PM,69.666,26.879,,
233,08/03/2019 04:00:00 PM,83.844,24.448,,
234,08/03/2019 05:00:00 PM,91.591,24.255,,
235,08/03/2019 06:00:00 PM,92.314,25.028,,
236,08/03/2019 07:00:00 PM,92.000,25.610,,
237,08/03/2019 08:00:00 PM,91.979,25.610,,
238,08/03/2019 09:00:00 PM,91.914,25.125,,
239,08/03/2019 10:00:00 PM,91.873,24.738,,
240,08/03/2019 11:00:00 PM,91.896,24.448,,
241,08/04/2019 12:00:00 AM,91.857,24.158,,
242,08/04/2019 01:00:00 AM,91.862,23.966,,
243,08/04/2019 02:00:00 AM,91.962,23.869,,
244,08/04/2019 03:00:00 AM,91.998,23.677,,
245,08/04/2019 04:00:00 AM,92.068,23.581,,
246,08/04/2019 05:00:00 AM,92.127,23.484,,
247,08/04/2019 06:00:00 AM,92.199,23.484,,
248,08/04/2019 07:00:00 AM,92.269,23.388,,
249,08/04/2019 08:00:00 AM,92.289,23.388,,
250,08/04/2019 09:00:00 AM,92.266,23.292,,
251,08/04/2019 10:00:00 AM,92.266,23.292,,
252,08/04/2019 11:00:00 AM,92.212,23.196,,
253,08/04/2019 12:00:00 PM,92.181,23.196,,
254,08/04/2019 01:00:00 PM,92.119,23.196,,
255,08/04/2019 02:00:00 PM,92.106,23.100,,
256,08/04/2019 03:00:00 PM,92.137,23.100,,
257,08/04/2019 04:00:00 PM,92.168,23.100,,
258,08/04/2019 05:00:00 PM,92.178,23.100,,
259,08/04/2019 06:00:00 PM,92.175,23.004,,
260,08/04/2019 07:00:00 PM,92.134,23.004,,
261,08/04/2019 08:00:00 PM,92.103,23.004,,
262,08/04/2019 09:00:00 PM,92.072,23.004,,
263,08/04/2019 10:00:00 PM,92.083,23.004,,
264,08/04/2019 11:00:00 PM,92.059,22.908,,
265,08/05/2019 12:00:00 AM,92.070,22.908,,
266,08/05/2019 01:00:00 AM,92.070,22.908,,
267,08/05/2019 02:00:00 AM,92.028,22.908,,
268,08/05/2019 03:00:00 AM,92.028,22.908,,
269,08/05/2019 04:00:00 AM,92.049,22.908,,
270,08/05/2019 05:00:00 AM,92.067,22.812,,
271,08/05/2019 06:00:00 AM,92.026,22.812,,
272,08/05/2019 07:00:00 AM,92.036,22.812,,
273,08/05/2019 08:00:00 AM,91.985,22.812,,
274,08/05/2019 09:00:00 AM,91.954,22.812,,
275,08/05/2019 10:00:00 AM,91.882,22.812,,
276,08/05/2019 11:00:00 AM,91.830,22.812,,
277,08/05/2019 12:00:00 PM,91.789,22.812,,
278,08/05/2019 01:00:00 PM,91.758,22.812,,
279,08/05/2019 02:00:00 PM,91.737,22.812,,
280,08/05/2019 03:00:00 PM,91.748,22.812,,
281,08/05/2019 04:00:00 PM,91.727,22.812,,
282,08/05/2019 05:00:00 PM,91.789,22.812,,
283,08/05/2019 06:00:00 PM,91.799,22.812,,
284,08/05/2019 07:00:00 PM,91.768,22.812,,
285,08/05/2019 08:00:00 PM,91.748,22.812,,
286,08/05/2019 09:00:00 PM,91.768,22.812,,
287,08/05/2019 10:00:00 PM,91.717,22.812,,
288,08/05/2019 11:00:00 PM,91.706,22.812,,
289,08/06/2019 12:00:00 AM,91.727,22.812,,
290,08/06/2019 01:00:00 AM,91.758,22.812,,
291,08/06/2019 02:00:00 AM,91.809,22.812,,
292,08/06/2019 03:00:00 AM,91.830,22.812,,
293,08/06/2019 04:00:00 AM,91.851,22.812,,
294,08/06/2019 05:00:00 AM,91.902,22.812,,
295,08/06/2019 06:00:00 AM,91.882,22.812,,
296,08/06/2019 07:00:00 AM,91.902,22.812,,
297,08/06/2019 08:00:00 AM,91.892,22.812,,
298,08/06/2019 09:00:00 AM,91.882,22.812,,
299,08/06/2019 10:00:00 AM,91.861,22.812,,
300,08/06/2019 11:00:00 AM,91.871,22.812,,
301,08/06/2019 12:00:00 PM,91.882,22.812,,
302,08/06/2019 01:00:00 PM,91.882,22.812,,
303,08/06/2019 02:00:00 PM,91.912,22.812,,
304,08/06/2019 03:00:00 PM,91.923,22.812,,
305,08/06/2019 04:00:00 PM,91.964,22.812,,
306,08/06/2019 05:00:00 PM,92.005,22.812,,
307,08/06/2019 06:00:00 PM,92.046,22.812,,
308,08/06/2019 07:00:00 PM,92.046,22.812,,
309,08/06/2019 08:00:00 PM,92.046,22.812,,
310,08/06/2019 09:00:00 PM,92.057,22.812,,
311,08/06/2019 10:00:00 PM,92.077,22.812,,
312,08/06/2019 11:00:00 PM,92.057,22.812,,
313,08/07/2019 12:00:00 AM,92.098,22.812,,
314,08/07/2019 01:00:00 AM,92.098,22.812,,
315,08/07/2019 02:00:00 AM,92.160,22.812,,
