Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 10/11/2025
TIME       : 13:36:37
FILENAME   : C:\Users\pohle\AppData\Roaming\DiverOffice\Diver-Export\CSV\VEI_FA110_251110133637_FA110.CSV
CREATED BY : Diver-Office 13.0.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =..00-FA110  219.
  Instrument number       =          UTC+6     
                          =0
  Location                =VEI_FA110
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =..00-FA110  219.
  Instrument number       =          UTC+6     
  Location                =VEI_FA110
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:13 16/08/24
  End date / time         =00:00:17 14/08/25
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.000   cm
  Range                   =1750.000  cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time,Pressure[cmH2O],Temperature[°C]
2024/08/16 13:00:00,935.967,29.720
2024/08/16 14:00:00,935.675,27.767
2024/08/16 15:00:00,937.717,28.797
2024/08/16 16:00:00,938.008,30.517
2024/08/16 17:00:00,939.175,31.477
2024/08/16 18:00:00,936.958,30.493
2024/08/16 19:00:00,936.258,29.470
2024/08/16 20:00:00,937.250,28.790
2024/08/16 21:00:00,936.842,28.227
2024/08/16 22:00:00,936.842,28.030
2024/08/16 23:00:00,936.375,27.960
2024/08/17 00:00:00,935.967,27.867
2024/08/17 01:00:00,935.500,27.733
2024/08/17 02:00:00,935.383,27.593
2024/08/17 03:00:00,935.092,27.390
2024/08/17 04:00:00,934.800,27.187
2024/08/17 05:00:00,934.567,27.040
2024/08/17 06:00:00,934.333,26.877
2024/08/17 07:00:00,934.392,26.803
2024/08/17 08:00:00,934.800,26.993
2024/08/17 09:00:00,939.817,27.017
2024/08/17 10:00:00,932.467,27.103
2024/08/17 11:00:00,872.267,27.423
2024/08/17 12:00:00,851.558,27.797
2024/08/17 13:00:00,850.742,29.400
2024/08/17 14:00:00,840.300,29.500
2024/08/17 15:00:00,831.667,29.587
2024/08/17 16:00:00,844.850,29.703
2024/08/17 17:00:00,852.025,29.140
2024/08/17 18:00:00,851.675,27.843
2024/08/17 19:00:00,846.717,26.507
2024/08/17 20:00:00,846.833,25.400
2024/08/17 21:00:00,846.542,24.610
2024/08/17 22:00:00,846.717,24.203
2024/08/17 23:00:00,847.592,23.923
2024/08/18 00:00:00,847.708,23.743
2024/08/18 01:00:00,847.300,23.610
2024/08/18 02:00:00,846.717,23.500
2024/08/18 03:00:00,847.008,23.447
2024/08/18 04:00:00,846.717,23.383
2024/08/18 05:00:00,847.008,23.337
2024/08/18 06:00:00,846.425,23.313
2024/08/18 07:00:00,847.300,23.053
2024/08/18 08:00:00,824.667,22.680
2024/08/18 09:00:00,655.500,23.553
2024/08/18 10:00:00,653.050,25.460
2024/08/18 11:00:00,653.167,18.267
2024/08/18 12:00:00,652.875,17.093
2024/08/18 13:00:00,652.467,15.657
2024/08/18 14:00:00,652.175,15.343
2024/08/18 15:00:00,652.000,15.483
2024/08/18 16:00:00,651.825,14.203
2024/08/18 17:00:00,653.108,12.970
2024/08/18 18:00:00,653.983,11.913
2024/08/18 19:00:00,653.517,11.303
2024/08/18 20:00:00,653.808,10.743
2024/08/18 21:00:00,653.808,9.360
2024/08/18 22:00:00,654.275,8.767
2024/08/18 23:00:00,654.275,8.517
2024/08/19 00:00:00,654.275,8.360
2024/08/19 01:00:00,654.567,8.127
2024/08/19 02:00:00,654.100,7.757
2024/08/19 03:00:00,653.983,7.383
2024/08/19 04:00:00,653.692,6.977
2024/08/19 05:00:00,653.400,6.650
2024/08/19 06:00:00,653.225,6.937
2024/08/19 07:00:00,648.967,5.580
2024/08/19 08:00:00,649.258,3.483
2024/08/19 09:00:00,650.717,3.727
2024/08/19 10:00:00,650.892,9.830
2024/08/19 11:00:00,648.850,10.977
2024/08/19 12:00:00,648.617,14.500
2024/08/19 13:00:00,653.050,17.150
2024/08/19 14:00:00,648.500,19.867
2024/08/19 15:00:00,648.325,18.407
2024/08/19 16:00:00,651.125,14.617
2024/08/19 17:00:00,651.125,17.150
2024/08/19 18:00:00,652.933,13.953
2024/08/19 19:00:00,652.817,8.830
2024/08/19 20:00:00,653.983,5.250
2024/08/19 21:00:00,654.275,3.983
2024/08/19 22:00:00,654.100,3.483
2024/08/19 23:00:00,653.983,3.227
2024/08/20 00:00:00,654.100,3.407
2024/08/20 01:00:00,653.517,3.030
2024/08/20 02:00:00,652.817,2.610
2024/08/20 03:00:00,652.933,2.413
2024/08/20 04:00:00,652.817,2.273
2024/08/20 05:00:00,652.350,1.970
2024/08/20 06:00:00,652.233,2.423
2024/08/20 07:00:00,656.142,2.580
2024/08/20 08:00:00,676.733,4.507
2024/08/20 09:00:00,663.025,9.617
2024/08/20 10:00:00,662.733,13.227
2024/08/20 11:00:00,662.558,14.187
2024/08/20 12:00:00,662.267,14.883
2024/08/20 13:00:00,661.800,16.320
2024/08/20 14:00:00,661.683,17.733
2024/08/20 15:00:00,661.508,20.733
2024/08/20 16:00:00,661.392,20.483
2024/08/20 17:00:00,662.558,22.267
2024/08/20 18:00:00,662.383,13.437
2024/08/20 19:00:00,662.733,12.173
2024/08/20 20:00:00,662.733,11.110
