"Plot Title: 21411022"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 21411022, SEN S/N: 21411022)","Temp, °C (LGR S/N: 21411022, SEN S/N: 21411022)","Coupler Detached (LGR S/N: 21411022)","Coupler Attached (LGR S/N: 21411022)","Host Connected (LGR S/N: 21411022)","End Of File (LGR S/N: 21411022)"
1,08/17/2022 05:00:00 AM,64.941,7.782,Logged,,,
2,08/17/2022 06:00:00 AM,64.918,5.141,,,,
3,08/17/2022 07:00:00 AM,64.904,5.347,,,,
4,08/17/2022 08:00:00 AM,64.943,6.064,,,,
5,08/17/2022 09:00:00 AM,64.930,7.179,,,,
6,08/17/2022 10:00:00 AM,64.930,8.082,,,,
7,08/17/2022 11:00:00 AM,64.945,8.481,,,,
8,08/17/2022 12:00:00 PM,64.944,9.077,,,,
9,08/17/2022 01:00:00 PM,65.022,10.944,,,,
10,08/17/2022 02:00:00 PM,65.014,9.768,,,,
11,08/17/2022 03:00:00 PM,65.047,9.768,,,,
12,08/17/2022 04:00:00 PM,65.130,8.978,,,,
13,08/17/2022 05:00:00 PM,65.120,8.082,,,,
14,08/17/2022 06:00:00 PM,65.127,7.682,,,,
15,08/17/2022 07:00:00 PM,65.075,7.481,,,,
16,08/17/2022 08:00:00 PM,65.045,6.978,,,,
17,08/17/2022 09:00:00 PM,65.007,6.573,,,,
18,08/17/2022 10:00:00 PM,64.954,6.064,,,,
19,08/17/2022 11:00:00 PM,64.931,5.757,,,,
20,08/18/2022 12:00:00 AM,64.930,5.450,,,,
21,08/18/2022 01:00:00 AM,64.925,5.037,,,,
22,08/18/2022 02:00:00 AM,64.913,4.727,,,,
23,08/18/2022 03:00:00 AM,64.927,4.519,,,,
24,08/18/2022 04:00:00 AM,64.949,4.519,,,,
25,08/18/2022 05:00:00 AM,64.944,4.934,,,,
26,08/18/2022 06:00:00 AM,64.972,5.655,,,,
27,08/18/2022 07:00:00 AM,64.974,6.877,,,,
28,08/18/2022 08:00:00 AM,64.945,8.481,,,,
29,08/18/2022 09:00:00 AM,64.917,9.866,,,,
30,08/18/2022 10:00:00 AM,64.846,9.768,,,,
31,08/18/2022 11:00:00 AM,64.872,11.139,,,,
32,08/18/2022 12:00:00 PM,64.855,11.625,,,,
33,08/18/2022 01:00:00 PM,64.849,11.431,,,,
34,08/18/2022 02:00:00 PM,64.849,11.431,,,,
35,08/18/2022 03:00:00 PM,64.869,11.041,,,,
36,08/18/2022 04:00:00 PM,64.927,10.455,,,,
37,08/18/2022 05:00:00 PM,64.943,9.965,,,,
38,08/18/2022 06:00:00 PM,64.922,9.373,,,,
39,08/18/2022 07:00:00 PM,64.878,8.779,,,,
40,08/18/2022 08:00:00 PM,64.848,8.282,,,,
41,08/18/2022 09:00:00 PM,64.826,7.682,,,,
42,08/18/2022 10:00:00 PM,64.815,7.381,,,,
43,08/18/2022 11:00:00 PM,64.800,6.978,,,,
44,08/19/2022 12:00:00 AM,64.796,6.573,,,,
45,08/19/2022 01:00:00 AM,64.791,6.166,,,,
46,08/19/2022 02:00:00 AM,64.768,5.860,,,,
47,08/19/2022 03:00:00 AM,64.791,5.860,,,,
48,08/19/2022 04:00:00 AM,64.802,5.860,,,,
49,08/19/2022 05:00:00 AM,64.821,6.370,,,,
50,08/19/2022 06:00:00 AM,64.841,7.179,,,,
51,08/19/2022 07:00:00 AM,64.823,8.182,,,,
52,08/19/2022 08:00:00 AM,64.802,9.472,,,,
53,08/19/2022 09:00:00 AM,64.811,10.651,,,,
54,08/19/2022 10:00:00 AM,64.808,11.528,,,,
55,08/19/2022 11:00:00 AM,64.770,12.401,,,,
56,08/19/2022 12:00:00 PM,64.777,13.269,,,,
57,08/19/2022 01:00:00 PM,64.777,14.325,,,,
58,08/19/2022 02:00:00 PM,64.791,13.365,,,,
59,08/19/2022 03:00:00 PM,64.793,13.076,,,,
60,08/19/2022 04:00:00 PM,64.788,12.594,,,,
61,08/19/2022 05:00:00 PM,64.829,11.819,,,,
62,08/19/2022 06:00:00 PM,64.791,11.041,,,,
63,08/19/2022 07:00:00 PM,64.765,9.669,,,,
64,08/19/2022 08:00:00 PM,64.729,8.978,,,,
65,08/19/2022 09:00:00 PM,64.733,8.481,,,,
66,08/19/2022 10:00:00 PM,64.670,7.682,,,,
67,08/19/2022 11:00:00 PM,64.670,7.079,,,,
68,08/20/2022 12:00:00 AM,64.651,6.877,,,,
69,08/20/2022 01:00:00 AM,64.591,6.471,,,,
70,08/20/2022 02:00:00 AM,64.601,5.860,,,,
71,08/20/2022 03:00:00 AM,64.585,5.450,,,,
72,08/20/2022 04:00:00 AM,64.578,5.552,,,,
73,08/20/2022 05:00:00 AM,64.580,6.166,,,,
74,08/20/2022 06:00:00 AM,64.581,7.079,,,,
75,08/20/2022 07:00:00 AM,64.600,8.182,,,,
76,08/20/2022 08:00:00 AM,64.598,9.669,,,,
77,08/20/2022 09:00:00 AM,64.568,11.041,,,,
78,08/20/2022 10:00:00 AM,64.548,12.110,,,,
79,08/20/2022 11:00:00 AM,64.528,12.497,,,,
80,08/20/2022 12:00:00 PM,64.521,12.304,,,,
81,08/20/2022 01:00:00 PM,64.521,12.304,,,,
82,08/20/2022 02:00:00 PM,64.515,11.139,,,,
83,08/20/2022 03:00:00 PM,64.511,10.063,,,,
84,08/20/2022 04:00:00 PM,64.555,8.779,,,,
85,08/20/2022 05:00:00 PM,64.592,7.682,,,,
86,08/20/2022 06:00:00 PM,64.588,6.978,,,,
87,08/20/2022 07:00:00 PM,64.572,6.268,,,,
88,08/20/2022 08:00:00 PM,64.575,5.757,,,,
89,08/20/2022 09:00:00 PM,64.549,5.655,,,,
90,08/20/2022 10:00:00 PM,64.533,5.244,,,,
91,08/20/2022 11:00:00 PM,64.510,4.934,,,,
92,08/21/2022 12:00:00 AM,64.493,4.519,,,,
93,08/21/2022 01:00:00 AM,64.510,4.102,,,,
94,08/21/2022 02:00:00 AM,64.511,3.578,,,,
95,08/21/2022 03:00:00 AM,64.549,3.683,,,,
96,08/21/2022 04:00:00 AM,64.561,3.998,,,,
97,08/21/2022 05:00:00 AM,64.568,4.727,,,,
98,08/21/2022 06:00:00 AM,64.601,5.860,,,,
99,08/21/2022 07:00:00 AM,64.618,6.877,,,,
100,08/21/2022 08:00:00 AM,64.592,8.282,,,,
101,08/21/2022 09:00:00 AM,64.602,9.472,,,,
102,08/21/2022 10:00:00 AM,64.629,10.553,,,,
103,08/21/2022 11:00:00 AM,64.651,10.553,,,,
104,08/21/2022 12:00:00 PM,64.606,10.553,,,,
105,08/21/2022 01:00:00 PM,64.646,13.365,,,,
106,08/21/2022 02:00:00 PM,64.597,11.236,,,,
107,08/21/2022 03:00:00 PM,64.613,9.472,,,,
108,08/21/2022 04:00:00 PM,64.626,7.983,,,,
109,08/21/2022 05:00:00 PM,64.673,6.877,,,,
110,08/21/2022 06:00:00 PM,64.717,6.268,,,,
111,08/21/2022 07:00:00 PM,64.686,5.450,,,,
112,08/21/2022 08:00:00 PM,64.688,4.934,,,,
113,08/21/2022 09:00:00 PM,64.671,4.519,,,,
114,08/21/2022 10:00:00 PM,64.643,4.102,,,,
115,08/21/2022 11:00:00 PM,64.662,3.998,,,,
116,08/22/2022 12:00:00 AM,64.671,3.683,,,,
117,08/22/2022 01:00:00 AM,64.669,3.367,,,,
118,08/22/2022 02:00:00 AM,64.703,3.367,,,,
119,08/22/2022 03:00:00 AM,64.732,3.261,,,,
120,08/22/2022 04:00:00 AM,64.754,3.261,,,,
121,08/22/2022 05:00:00 AM,64.771,3.683,,,,
122,08/22/2022 06:00:00 AM,64.801,4.415,,,,
123,08/22/2022 07:00:00 AM,64.808,5.450,,,,
124,08/22/2022 08:00:00 AM,64.796,6.573,,,,
125,08/22/2022 09:00:00 AM,64.797,7.782,,,,
126,08/22/2022 10:00:00 AM,64.811,9.077,,,,
127,08/22/2022 11:00:00 AM,64.772,9.866,,,,
128,08/22/2022 12:00:00 PM,64.803,10.748,,,,
129,08/22/2022 01:00:00 PM,64.886,13.558,,,,
130,08/22/2022 02:00:00 PM,64.877,12.594,,,,
131,08/22/2022 03:00:00 PM,64.898,12.207,,,,
132,08/22/2022 04:00:00 PM,64.927,11.431,,,,
133,08/22/2022 05:00:00 PM,64.978,10.651,,,,
134,08/22/2022 06:00:00 PM,64.932,9.965,,,,
135,08/22/2022 07:00:00 PM,64.914,9.472,,,,
136,08/22/2022 08:00:00 PM,64.914,9.176,,,,
137,08/22/2022 09:00:00 PM,64.893,8.879,,,,
138,08/22/2022 10:00:00 PM,64.852,8.382,,,,
139,08/22/2022 11:00:00 PM,64.897,7.481,,,,
140,08/23/2022 12:00:00 AM,64.844,6.978,,,,
141,08/23/2022 01:00:00 AM,64.904,6.775,,,,
142,08/23/2022 02:00:00 AM,64.999,6.064,,,,
143,08/23/2022 03:00:00 AM,64.953,5.450,,,,
144,08/23/2022 04:00:00 AM,64.977,4.934,,,,
145,08/23/2022 05:00:00 AM,64.984,4.831,,,,
