Plot Title: 21752977,,,,,,,,
#,"Date Time, GMT+06:00","Abs Pres, kPa (LGR S/N: 21752977, SEN S/N: 21752977)","Temp, °C (LGR S/N: 21752977, SEN S/N: 21752977)",Coupler Detached (LGR S/N: 21752977),Coupler Attached (LGR S/N: 21752977),Host Connected (LGR S/N: 21752977),Stopped (LGR S/N: 21752977),End Of File (LGR S/N: 21752977)
93,07/13/2023 08:00:00 AM,65.588,11.139,,,,,
94,07/13/2023 09:00:00 AM,65.631,8.779,,,,,
95,07/13/2023 10:00:00 AM,65.605,10.161,,,,,
96,07/13/2023 11:00:00 AM,65.589,11.431,,,,,
97,07/13/2023 12:00:00 PM,65.555,13.173,,,,,
98,07/13/2023 01:00:00 PM,65.559,14.23,,,,,
99,07/13/2023 02:00:00 PM,65.532,15.282,,,,,
100,07/13/2023 03:00:00 PM,65.545,16.046,,,,,
101,07/13/2023 04:00:00 PM,65.496,16.808,,,,,
102,07/13/2023 05:00:00 PM,65.51,16.427,,,,,
103,07/13/2023 06:00:00 PM,65.508,15.951,,,,,
104,07/13/2023 07:00:00 PM,65.538,15.951,,,,,
105,07/13/2023 08:00:00 PM,65.562,15.282,,,,,
106,07/13/2023 09:00:00 PM,65.569,14.23,,,,,
107,07/13/2023 10:00:00 PM,65.568,13.076,,,,,
108,07/13/2023 11:00:00 PM,65.562,12.304,,,,,
109,07/14/2023 12:00:00 AM,65.543,11.625,,,,,
110,07/14/2023 01:00:00 AM,65.516,10.846,,,,,
111,07/14/2023 02:00:00 AM,65.512,10.259,,,,,
112,07/14/2023 03:00:00 AM,65.496,9.768,,,,,
113,07/14/2023 04:00:00 AM,65.468,9.275,,,,,
114,07/14/2023 05:00:00 AM,65.493,8.68,,,,,
115,07/14/2023 06:00:00 AM,65.496,8.581,,,,,
116,07/14/2023 07:00:00 AM,65.508,8.082,,,,,
117,07/14/2023 08:00:00 AM,65.523,8.68,,,,,
118,07/14/2023 09:00:00 AM,65.54,9.965,,,,,
119,07/14/2023 10:00:00 AM,65.533,10.944,,,,,
120,07/14/2023 11:00:00 AM,65.535,12.207,,,,,
121,07/14/2023 12:00:00 PM,65.515,13.461,,,,,
122,07/14/2023 01:00:00 PM,65.486,14.613,,,,,
123,07/14/2023 02:00:00 PM,65.512,13.846,,,,,
