"Plot Title: 10662647"
"#","Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 10662647, SEN S/N: 10662647)","Temp, °C (LGR S/N: 10662647, SEN S/N: 10662647)","Coupler Detached (LGR S/N: 10662647)","End Of File (LGR S/N: 10662647)"
1,07/25/2019 12:00:00 AM,99.200,25.513,Logged,
2,07/25/2019 01:00:00 AM,99.198,25.125,,
3,07/25/2019 02:00:00 AM,99.190,24.931,,
4,07/25/2019 03:00:00 AM,99.196,24.738,,
5,07/25/2019 04:00:00 AM,99.215,24.545,,
6,07/25/2019 05:00:00 AM,99.250,24.448,,
7,07/25/2019 06:00:00 AM,99.272,24.351,,
8,07/25/2019 07:00:00 AM,99.298,24.351,,
9,07/25/2019 08:00:00 AM,99.321,24.255,,
10,07/25/2019 09:00:00 AM,99.321,24.255,,
11,07/25/2019 10:00:00 AM,99.360,24.255,,
12,07/25/2019 11:00:00 AM,99.369,24.158,,
13,07/25/2019 12:00:00 PM,99.382,24.158,,
14,07/25/2019 01:00:00 PM,99.395,24.158,,
15,07/25/2019 02:00:00 PM,99.421,24.158,,
16,07/25/2019 03:00:00 PM,99.430,24.062,,
17,07/25/2019 04:00:00 PM,99.417,24.062,,
18,07/25/2019 05:00:00 PM,99.430,24.062,,
19,07/25/2019 06:00:00 PM,99.421,24.158,,
20,07/25/2019 07:00:00 PM,99.434,24.158,,
21,07/25/2019 08:00:00 PM,99.447,24.158,,
22,07/25/2019 09:00:00 PM,78.289,23.966,,
23,07/25/2019 10:00:00 PM,77.747,23.196,,
24,07/25/2019 11:00:00 PM,77.726,22.142,,
25,07/26/2019 12:00:00 AM,90.617,21.282,,
26,07/26/2019 01:00:00 AM,89.505,21.378,,
27,07/26/2019 02:00:00 AM,89.454,22.142,,
28,07/26/2019 03:00:00 AM,89.465,22.812,,
29,07/26/2019 04:00:00 AM,89.456,23.292,,
30,07/26/2019 05:00:00 AM,89.476,25.319,,
31,07/26/2019 06:00:00 AM,88.525,26.292,,
32,07/26/2019 07:00:00 AM,80.757,27.370,,
33,07/26/2019 08:00:00 AM,74.905,27.764,,
34,07/26/2019 09:00:00 AM,69.279,27.272,,
35,07/26/2019 10:00:00 AM,70.585,28.159,,
36,07/26/2019 11:00:00 AM,75.089,28.655,,
37,07/26/2019 12:00:00 PM,75.054,27.961,,
38,07/26/2019 01:00:00 PM,75.029,26.781,,
39,07/26/2019 02:00:00 PM,74.999,25.416,,
40,07/26/2019 03:00:00 PM,75.033,24.448,,
41,07/26/2019 04:00:00 PM,75.079,23.869,,
42,07/26/2019 05:00:00 PM,75.131,23.484,,
43,07/26/2019 06:00:00 PM,75.216,23.292,,
44,07/26/2019 07:00:00 PM,75.261,23.100,,
45,07/26/2019 08:00:00 PM,75.294,22.908,,
46,07/26/2019 09:00:00 PM,75.288,22.717,,
47,07/26/2019 10:00:00 PM,75.282,22.525,,
48,07/26/2019 11:00:00 PM,75.299,22.238,,
49,07/27/2019 12:00:00 AM,75.319,22.046,,
50,07/27/2019 01:00:00 AM,75.310,21.760,,
51,07/27/2019 02:00:00 AM,75.349,21.378,,
52,07/27/2019 03:00:00 AM,75.353,21.091,,
53,07/27/2019 04:00:00 AM,75.690,20.710,,
54,07/27/2019 05:00:00 AM,73.513,20.901,,
55,07/27/2019 06:00:00 AM,68.765,22.621,,
56,07/27/2019 07:00:00 AM,68.124,24.931,,
57,07/27/2019 08:00:00 AM,68.087,27.173,,
58,07/27/2019 09:00:00 AM,68.064,28.555,,
59,07/27/2019 10:00:00 AM,67.467,28.456,,
60,07/27/2019 11:00:00 AM,67.007,27.764,,
61,07/27/2019 12:00:00 PM,66.760,27.272,,
62,07/27/2019 01:00:00 PM,66.782,26.683,,
63,07/27/2019 02:00:00 PM,66.773,26.390,,
64,07/27/2019 03:00:00 PM,66.796,25.416,,
65,07/27/2019 04:00:00 PM,66.842,24.351,,
66,07/27/2019 05:00:00 PM,66.860,23.196,,
67,07/27/2019 06:00:00 PM,66.903,22.046,,
68,07/27/2019 07:00:00 PM,66.908,20.901,,
69,07/27/2019 08:00:00 PM,66.901,19.758,,
70,07/27/2019 09:00:00 PM,66.896,18.711,,
71,07/27/2019 10:00:00 PM,66.871,17.855,,
72,07/27/2019 11:00:00 PM,66.862,17.094,,
73,07/28/2019 12:00:00 AM,66.863,16.237,,
74,07/28/2019 01:00:00 AM,66.877,15.378,,
75,07/28/2019 02:00:00 AM,66.891,14.517,,
76,07/28/2019 03:00:00 AM,66.926,13.942,,
77,07/28/2019 04:00:00 AM,66.914,13.558,,
78,07/28/2019 05:00:00 AM,66.761,14.038,,
79,07/28/2019 06:00:00 AM,65.368,14.804,,
80,07/28/2019 07:00:00 AM,63.920,15.473,,
81,07/28/2019 08:00:00 AM,63.925,15.664,,
82,07/28/2019 09:00:00 AM,63.916,16.237,,
83,07/28/2019 10:00:00 AM,63.925,19.758,,
84,07/28/2019 11:00:00 AM,63.926,25.222,,
85,07/28/2019 12:00:00 PM,63.922,28.655,,
86,07/28/2019 01:00:00 PM,63.916,30.659,,
87,07/28/2019 02:00:00 PM,63.915,31.064,,
88,07/28/2019 03:00:00 PM,63.894,29.452,,
89,07/28/2019 04:00:00 PM,63.920,24.545,,
90,07/28/2019 05:00:00 PM,63.947,16.427,,
91,07/28/2019 06:00:00 PM,64.000,13.269,,
92,07/28/2019 07:00:00 PM,64.024,12.304,,
93,07/28/2019 08:00:00 PM,64.021,11.722,,
94,07/28/2019 09:00:00 PM,64.005,11.139,,
95,07/28/2019 10:00:00 PM,64.004,10.651,,
96,07/28/2019 11:00:00 PM,64.009,10.357,,
97,07/29/2019 12:00:00 AM,64.013,10.063,,
98,07/29/2019 01:00:00 AM,64.034,9.866,,
99,07/29/2019 02:00:00 AM,64.077,9.571,,
100,07/29/2019 03:00:00 AM,64.110,9.373,,
101,07/29/2019 04:00:00 AM,64.130,9.176,,
102,07/29/2019 05:00:00 AM,64.148,9.373,,
103,07/29/2019 06:00:00 AM,64.176,10.357,,
104,07/29/2019 07:00:00 AM,64.194,10.553,,
105,07/29/2019 08:00:00 AM,64.202,10.846,,
106,07/29/2019 09:00:00 AM,64.182,11.041,,
107,07/29/2019 10:00:00 AM,64.180,11.431,,
108,07/29/2019 11:00:00 AM,64.152,11.819,,
109,07/29/2019 12:00:00 PM,64.150,12.207,,
110,07/29/2019 01:00:00 PM,64.135,12.594,,
111,07/29/2019 02:00:00 PM,64.143,12.883,,
112,07/29/2019 03:00:00 PM,64.141,13.269,,
113,07/29/2019 04:00:00 PM,64.135,12.594,,
114,07/29/2019 05:00:00 PM,64.170,11.528,,
115,07/29/2019 06:00:00 PM,64.189,10.846,,
116,07/29/2019 07:00:00 PM,64.193,10.063,,
117,07/29/2019 08:00:00 PM,64.187,9.373,,
118,07/29/2019 09:00:00 PM,64.166,9.077,,
119,07/29/2019 10:00:00 PM,64.160,8.879,,
120,07/29/2019 11:00:00 PM,64.139,8.581,,
121,07/30/2019 12:00:00 AM,64.131,8.282,,
122,07/30/2019 01:00:00 AM,64.138,8.082,,
123,07/30/2019 02:00:00 AM,64.148,7.983,,
124,07/30/2019 03:00:00 AM,64.146,7.882,,
125,07/30/2019 04:00:00 AM,64.154,6.775,,
126,07/30/2019 05:00:00 AM,64.181,7.782,,
127,07/30/2019 06:00:00 AM,64.217,14.134,,
128,07/30/2019 07:00:00 AM,64.238,18.996,,
129,07/30/2019 08:00:00 AM,64.236,21.187,,
130,07/30/2019 09:00:00 AM,64.227,23.100,,
131,07/30/2019 10:00:00 AM,64.232,24.641,,
132,07/30/2019 11:00:00 AM,64.197,26.097,,
133,07/30/2019 12:00:00 PM,64.173,28.853,,
134,07/30/2019 01:00:00 PM,64.148,29.752,,
135,07/30/2019 02:00:00 PM,64.163,28.060,,
136,07/30/2019 03:00:00 PM,64.141,25.513,,
137,07/30/2019 04:00:00 PM,64.163,23.581,,
138,07/30/2019 05:00:00 PM,64.168,18.331,,
139,07/30/2019 06:00:00 PM,64.197,14.325,,
140,07/30/2019 07:00:00 PM,64.178,11.819,,
141,07/30/2019 08:00:00 PM,64.142,10.063,,
142,07/30/2019 09:00:00 PM,64.114,8.581,,
143,07/30/2019 10:00:00 PM,64.093,7.381,,
144,07/30/2019 11:00:00 PM,64.074,6.674,,
145,07/31/2019 12:00:00 AM,64.044,6.064,,
146,07/31/2019 01:00:00 AM,64.017,5.552,,
147,07/31/2019 02:00:00 AM,64.040,5.450,,
148,07/31/2019 03:00:00 AM,64.027,5.450,,
149,07/31/2019 04:00:00 AM,64.040,5.450,,
150,07/31/2019 05:00:00 AM,64.054,5.962,,
151,07/31/2019 06:00:00 AM,64.055,8.779,,
152,07/31/2019 07:00:00 AM,64.099,10.846,,
153,07/31/2019 08:00:00 AM,64.058,12.594,,
154,07/31/2019 09:00:00 AM,64.084,12.594,,
155,07/31/2019 10:00:00 AM,64.105,15.187,,
156,07/31/2019 11:00:00 AM,64.086,16.332,,
157,07/31/2019 12:00:00 PM,64.122,16.237,,
158,07/31/2019 01:00:00 PM,64.097,14.900,,
159,07/31/2019 02:00:00 PM,64.080,15.664,,
160,07/31/2019 03:00:00 PM,64.080,13.846,,
161,07/31/2019 04:00:00 PM,64.076,12.304,,
162,07/31/2019 05:00:00 PM,64.091,10.553,,
163,07/31/2019 06:00:00 PM,64.100,9.472,,
164,07/31/2019 07:00:00 PM,64.088,8.581,,
165,07/31/2019 08:00:00 PM,64.045,7.481,,
166,07/31/2019 09:00:00 PM,63.993,6.064,,
167,07/31/2019 10:00:00 PM,63.959,4.831,,
168,07/31/2019 11:00:00 PM,63.928,3.683,,
169,08/01/2019 12:00:00 AM,63.903,3.261,,
170,08/01/2019 01:00:00 AM,63.875,3.155,,
171,08/01/2019 02:00:00 AM,63.890,3.261,,
172,08/01/2019 03:00:00 AM,63.892,3.788,,
173,08/01/2019 04:00:00 AM,63.930,4.727,,
174,08/01/2019 05:00:00 AM,63.951,9.669,,
175,08/01/2019 06:00:00 AM,63.928,15.760,,
176,08/01/2019 07:00:00 AM,64.889,20.138,,
177,08/01/2019 08:00:00 AM,67.242,24.351,,
178,08/01/2019 09:00:00 AM,68.237,26.977,,
179,08/01/2019 10:00:00 AM,68.322,28.953,,
180,08/01/2019 11:00:00 AM,68.283,28.953,,
181,08/01/2019 12:00:00 PM,72.250,28.060,,
182,08/01/2019 01:00:00 PM,75.238,27.665,,
183,08/01/2019 02:00:00 PM,75.257,28.258,,
184,08/01/2019 03:00:00 PM,75.254,25.708,,
185,08/01/2019 04:00:00 PM,75.257,23.773,,
186,08/01/2019 05:00:00 PM,75.373,23.773,,
187,08/01/2019 06:00:00 PM,75.451,23.773,,
188,08/01/2019 07:00:00 PM,75.499,23.677,,
189,08/01/2019 08:00:00 PM,75.562,23.196,,
190,08/01/2019 09:00:00 PM,75.553,22.525,,
191,08/01/2019 10:00:00 PM,75.509,21.951,,
192,08/01/2019 11:00:00 PM,75.481,21.473,,
193,08/02/2019 12:00:00 AM,75.479,20.996,,
194,08/02/2019 01:00:00 AM,75.477,20.519,,
195,08/02/2019 02:00:00 AM,75.511,19.948,,
196,08/02/2019 03:00:00 AM,75.529,19.282,,
197,08/02/2019 04:00:00 AM,75.565,18.806,,
198,08/02/2019 05:00:00 AM,75.560,18.236,,
199,08/02/2019 06:00:00 AM,72.279,19.377,,
200,08/02/2019 07:00:00 AM,69.788,16.713,,
201,08/02/2019 08:00:00 AM,82.953,18.331,,
202,08/02/2019 09:00:00 AM,79.297,21.569,,
203,08/02/2019 10:00:00 AM,89.648,25.416,,
204,08/02/2019 11:00:00 AM,89.662,32.704,,
205,08/02/2019 12:00:00 PM,89.829,34.796,,
206,08/02/2019 01:00:00 PM,92.258,34.691,,
207,08/02/2019 02:00:00 PM,91.599,35.864,,
208,08/02/2019 03:00:00 PM,91.593,36.079,,
209,08/02/2019 04:00:00 PM,91.626,35.542,,
210,08/02/2019 05:00:00 PM,91.652,33.430,,
211,08/02/2019 06:00:00 PM,91.659,30.760,,
212,08/02/2019 07:00:00 PM,91.673,28.655,,
213,08/02/2019 08:00:00 PM,91.681,27.075,,
214,08/02/2019 09:00:00 PM,91.635,25.805,,
215,08/02/2019 10:00:00 PM,91.622,24.738,,
216,08/02/2019 11:00:00 PM,91.582,23.966,,
217,08/03/2019 12:00:00 AM,91.593,23.196,,
218,08/03/2019 01:00:00 AM,91.592,22.812,,
219,08/03/2019 02:00:00 AM,91.588,22.333,,
220,08/03/2019 03:00:00 AM,91.629,22.046,,
221,08/03/2019 04:00:00 AM,92.143,22.621,,
222,08/03/2019 05:00:00 AM,93.518,25.805,,
223,08/03/2019 06:00:00 AM,92.837,28.853,,
224,08/03/2019 07:00:00 AM,90.197,29.853,,
225,08/03/2019 08:00:00 AM,90.358,29.652,,
226,08/03/2019 09:00:00 AM,86.972,30.862,,
227,08/03/2019 10:00:00 AM,83.320,32.600,,
228,08/03/2019 11:00:00 AM,71.653,29.652,,
229,08/03/2019 12:00:00 PM,77.332,26.781,,
230,08/03/2019 01:00:00 PM,77.374,27.272,,
231,08/03/2019 02:00:00 PM,77.367,27.075,,
232,08/03/2019 03:00:00 PM,69.677,23.773,,
233,08/03/2019 04:00:00 PM,83.851,21.569,,
234,08/03/2019 05:00:00 PM,91.609,24.351,,
235,08/03/2019 06:00:00 PM,92.339,25.513,,
236,08/03/2019 07:00:00 PM,92.000,26.195,,
237,08/03/2019 08:00:00 PM,91.974,25.125,,
238,08/03/2019 09:00:00 PM,91.936,24.448,,
239,08/03/2019 10:00:00 PM,91.897,24.062,,
240,08/03/2019 11:00:00 PM,91.886,23.773,,
