Plot Title: 10662647,,,,,
#,"Date Time, GMT+02:00","Abs Pres, kPa (LGR S/N: 10662647, SEN S/N: 10662647)","Temp, °C (LGR S/N: 10662647, SEN S/N: 10662647)",Coupler Detached (LGR S/N: 10662647),End Of File (LGR S/N: 10662647)
708,08/23/2019 11:00:00 AM,67.646,3.155,,
709,08/23/2019 12:00:00 PM,67.88,1.439,,
710,08/23/2019 01:00:00 PM,67.924,1.656,,
711,08/23/2019 02:00:00 PM,67.925,1.221,,
712,08/23/2019 03:00:00 PM,67.977,0.343,,
713,08/23/2019 04:00:00 PM,68.025,0.232,,
714,08/23/2019 05:00:00 PM,67.98,0.453,,
715,08/23/2019 06:00:00 PM,67.865,0.453,,
716,08/23/2019 07:00:00 PM,67.903,0.453,,
717,08/23/2019 08:00:00 PM,67.798,0.343,,
718,08/23/2019 09:00:00 PM,67.733,0.343,,
719,08/23/2019 10:00:00 PM,67.737,0.453,,
720,08/23/2019 11:00:00 PM,67.749,0.453,,
721,08/24/2019 12:00:00 AM,67.621,0.453,,
722,08/24/2019 01:00:00 AM,67.647,0.453,,
723,08/24/2019 02:00:00 AM,67.644,0.343,,
724,08/24/2019 03:00:00 AM,67.644,0.343,,
725,08/24/2019 04:00:00 AM,67.614,0.674,,
726,08/24/2019 05:00:00 AM,67.668,1.221,,
727,08/24/2019 06:00:00 AM,67.691,1.112,,
728,08/24/2019 07:00:00 AM,67.787,0.893,,
729,08/24/2019 08:00:00 AM,67.694,0.784,,
730,08/24/2019 09:00:00 AM,67.609,2.303,,
731,08/24/2019 10:00:00 AM,67.675,2.837,,
732,08/24/2019 11:00:00 AM,67.593,2.195,,
733,08/24/2019 12:00:00 PM,67.686,2.303,,
734,08/24/2019 01:00:00 PM,67.742,1.548,,
735,08/24/2019 02:00:00 PM,67.932,0.121,,
736,08/24/2019 03:00:00 PM,67.858,0.674,,
737,08/24/2019 04:00:00 PM,67.836,0.343,,
738,08/24/2019 05:00:00 PM,67.871,0.232,,
739,08/24/2019 06:00:00 PM,67.862,0.343,,
740,08/24/2019 07:00:00 PM,67.794,0.232,,
741,08/24/2019 08:00:00 PM,67.791,0.121,,
742,08/24/2019 09:00:00 PM,67.778,0.121,,
743,08/24/2019 10:00:00 PM,67.727,0.121,,
744,08/24/2019 11:00:00 PM,67.74,0.121,,
745,08/25/2019 12:00:00 AM,67.65,0.121,,
746,08/25/2019 01:00:00 AM,67.57,0.01,,
747,08/25/2019 02:00:00 AM,67.609,0.01,,
748,08/25/2019 03:00:00 AM,67.625,0.121,,
749,08/25/2019 04:00:00 AM,67.628,0.232,,
750,08/25/2019 05:00:00 AM,67.633,0.893,,
751,08/25/2019 06:00:00 AM,67.642,1.656,,
752,08/25/2019 07:00:00 AM,67.692,2.517,,
753,08/25/2019 08:00:00 AM,67.697,3.155,,
754,08/25/2019 09:00:00 AM,67.709,3.578,,
755,08/25/2019 10:00:00 AM,67.766,3.788,,
756,08/25/2019 11:00:00 AM,67.841,3.683,,
757,08/25/2019 12:00:00 PM,67.912,3.049,,
758,08/25/2019 01:00:00 PM,68.094,2.195,,
759,08/25/2019 02:00:00 PM,68.043,1.764,,
760,08/25/2019 03:00:00 PM,68.204,1.112,,
761,08/25/2019 04:00:00 PM,68.23,0.674,,
762,08/25/2019 05:00:00 PM,68.188,0.563,,
763,08/25/2019 06:00:00 PM,68.07,0.453,,
764,08/25/2019 07:00:00 PM,68.041,0.343,,
765,08/25/2019 08:00:00 PM,67.897,0.232,,
766,08/25/2019 09:00:00 PM,67.897,0.232,,
767,08/25/2019 10:00:00 PM,67.794,0.232,,
768,08/25/2019 11:00:00 PM,67.778,0.121,,
769,08/26/2019 12:00:00 AM,67.689,0.121,,
770,08/26/2019 01:00:00 AM,67.727,0.121,,
771,08/26/2019 02:00:00 AM,67.727,0.121,,
772,08/26/2019 03:00:00 AM,67.714,0.121,,
773,08/26/2019 04:00:00 AM,67.605,0.343,,
774,08/26/2019 05:00:00 AM,67.752,1.003,,
775,08/26/2019 06:00:00 AM,67.767,1.98,,
776,08/26/2019 07:00:00 AM,67.788,2.73,,
777,08/26/2019 08:00:00 AM,67.758,3.472,,
778,08/26/2019 09:00:00 AM,67.821,3.893,,
779,08/26/2019 10:00:00 AM,67.962,3.893,,
