"Plot Title: 10662647"
"#","Date Time, GMT+06:00","Abs Pres, kPa (LGR S/N: 10662647, SEN S/N: 10662647)","Temp, °C (LGR S/N: 10662647, SEN S/N: 10662647)","Coupler Detached (LGR S/N: 10662647)","Coupler Attached (LGR S/N: 10662647)","Host Connected (LGR S/N: 10662647)","Stopped (LGR S/N: 10662647)","End Of File (LGR S/N: 10662647)"
1,07/09/2023 12:00:00 PM,76.795,23.773,Logged,,,,
2,07/09/2023 01:00:00 PM,76.834,23.773,,,,,
3,07/09/2023 02:00:00 PM,76.174,24.158,,,,,
4,07/09/2023 03:00:00 PM,74.366,23.388,,,,,
5,07/09/2023 04:00:00 PM,75.289,20.710,,,,,
6,07/09/2023 05:00:00 PM,76.758,16.903,,,,,
7,07/09/2023 06:00:00 PM,78.468,15.091,,,,,
8,07/09/2023 07:00:00 PM,79.202,14.230,,,,,
9,07/09/2023 08:00:00 PM,79.568,13.558,,,,,
10,07/09/2023 09:00:00 PM,79.923,12.980,,,,,
11,07/09/2023 10:00:00 PM,80.227,12.401,,,,,
12,07/09/2023 11:00:00 PM,80.492,11.819,,,,,
13,07/10/2023 12:00:00 AM,80.709,11.334,,,,,
14,07/10/2023 01:00:00 AM,80.900,10.846,,,,,
15,07/10/2023 02:00:00 AM,81.093,10.455,,,,,
16,07/10/2023 03:00:00 AM,81.235,10.063,,,,,
17,07/10/2023 04:00:00 AM,81.365,9.669,,,,,
18,07/10/2023 05:00:00 AM,81.494,9.275,,,,,
19,07/10/2023 06:00:00 AM,81.600,8.978,,,,,
20,07/10/2023 07:00:00 AM,81.707,8.680,,,,,
21,07/10/2023 08:00:00 AM,78.413,8.481,,,,,
22,07/10/2023 09:00:00 AM,78.114,8.382,,,,,
23,07/10/2023 10:00:00 AM,76.327,11.819,,,,,
24,07/10/2023 11:00:00 AM,74.686,14.613,,,,,
25,07/10/2023 12:00:00 PM,73.907,15.664,,,,,
26,07/10/2023 01:00:00 PM,71.542,19.758,,,,,
27,07/10/2023 02:00:00 PM,72.983,17.094,,,,,
28,07/10/2023 03:00:00 PM,73.239,16.618,,,,,
29,07/10/2023 04:00:00 PM,74.078,15.378,,,,,
30,07/10/2023 05:00:00 PM,73.162,14.517,,,,,
31,07/10/2023 06:00:00 PM,75.110,14.134,,,,,
32,07/10/2023 07:00:00 PM,75.377,13.173,,,,,
33,07/10/2023 08:00:00 PM,75.614,12.497,,,,,
34,07/10/2023 09:00:00 PM,76.019,11.431,,,,,
35,07/10/2023 10:00:00 PM,76.572,10.161,,,,,
36,07/10/2023 11:00:00 PM,77.209,8.680,,,,,
37,07/11/2023 12:00:00 AM,77.667,7.682,,,,,
