Plot Title: 10662647,,,,,,,,
#,"Date Time, GMT+06:00","Abs Pres, kPa (LGR S/N: 10662647, SEN S/N: 10662647)","Temp, °C (LGR S/N: 10662647, SEN S/N: 10662647)",Coupler Detached (LGR S/N: 10662647),Coupler Attached (LGR S/N: 10662647),Host Connected (LGR S/N: 10662647),Stopped (LGR S/N: 10662647),End Of File (LGR S/N: 10662647)
95,07/13/2023 10:00:00 AM,75.06,3.261,,,,,
96,07/13/2023 11:00:00 AM,75.33,2.41,,,,,
97,07/13/2023 12:00:00 PM,75.918,2.303,,,,,
98,07/13/2023 01:00:00 PM,76.13,2.088,,,,,
99,07/13/2023 02:00:00 PM,76.153,1.98,,,,,
100,07/13/2023 03:00:00 PM,76.162,1.872,,,,,
101,07/13/2023 04:00:00 PM,76.159,1.764,,,,,
102,07/13/2023 05:00:00 PM,76.146,1.33,,,,,
103,07/13/2023 06:00:00 PM,75.561,1.112,,,,,
104,07/13/2023 07:00:00 PM,75.169,1.33,,,,,
105,07/13/2023 08:00:00 PM,74.777,1.112,,,,,
106,07/13/2023 09:00:00 PM,74.504,1.003,,,,,
107,07/13/2023 10:00:00 PM,74.321,0.893,,,,,
108,07/13/2023 11:00:00 PM,74.192,0.893,,,,,
109,07/14/2023 12:00:00 AM,74.119,1.003,,,,,
110,07/14/2023 01:00:00 AM,74.038,0.893,,,,,
111,07/14/2023 02:00:00 AM,73.974,0.893,,,,,
112,07/14/2023 03:00:00 AM,73.926,1.003,,,,,
113,07/14/2023 04:00:00 AM,73.884,0.893,,,,,
114,07/14/2023 05:00:00 AM,73.871,0.893,,,,,
115,07/14/2023 06:00:00 AM,73.833,0.893,,,,,
116,07/14/2023 07:00:00 AM,73.823,1.003,,,,,
117,07/14/2023 08:00:00 AM,73.213,1.656,,,,,
118,07/14/2023 09:00:00 AM,72.892,2.517,,,,,
119,07/14/2023 10:00:00 AM,73.367,2.517,,,,,
120,07/14/2023 11:00:00 AM,74.52,1.98,,,,,
121,07/14/2023 12:00:00 PM,74.806,1.656,,,,,
122,07/14/2023 01:00:00 PM,74.106,1.872,,,,,
123,07/14/2023 02:00:00 PM,74.822,1.33,,,,,
124,07/14/2023 03:00:00 PM,73.737,1.98,,,,,
125,07/14/2023 04:00:00 PM,74.112,1.656,,,,,
126,07/14/2023 05:00:00 PM,73.913,1.439,,,,,
127,07/14/2023 06:00:00 PM,73.448,1.33,,,,,
128,07/14/2023 07:00:00 PM,73.727,1.221,,,,,
129,07/14/2023 08:00:00 PM,73.088,0.893,,,,,
130,07/14/2023 09:00:00 PM,72.504,1.112,,,,,
131,07/14/2023 10:00:00 PM,72.555,1.112,,,,,
132,07/14/2023 11:00:00 PM,72.346,1.003,,,,,
133,07/15/2023 12:00:00 AM,72.244,1.003,,,,,
134,07/15/2023 01:00:00 AM,72.167,1.003,,,,,
135,07/15/2023 02:00:00 AM,72.041,1.112,,,,,
136,07/15/2023 03:00:00 AM,71.926,1.112,,,,,
137,07/15/2023 04:00:00 AM,71.849,1.112,,,,,
138,07/15/2023 05:00:00 AM,71.794,1.003,,,,,
139,07/15/2023 06:00:00 AM,71.717,1.003,,,,,
140,07/15/2023 07:00:00 AM,71.589,1.003,,,,,
141,07/15/2023 08:00:00 AM,71.3,1.656,,,,,
142,07/15/2023 09:00:00 AM,71.338,2.517,,,,,
143,07/15/2023 10:00:00 AM,72.214,2.195,,,,,
144,07/15/2023 11:00:00 AM,73.538,1.764,,,,,
145,07/15/2023 12:00:00 PM,74.064,1.764,,,,,
146,07/15/2023 01:00:00 PM,74.125,2.088,,,,,
147,07/15/2023 02:00:00 PM,74.016,1.872,,,,,
148,07/15/2023 03:00:00 PM,73.878,1.98,,,,,
149,07/15/2023 04:00:00 PM,74.038,1.33,,,,,
150,07/15/2023 05:00:00 PM,73.807,1.33,,,,,
151,07/15/2023 06:00:00 PM,73.573,1.656,,,,,
152,07/15/2023 07:00:00 PM,73.245,1.439,,,,,
