date,at_pres,at_temp,wl_press,wl_temp,wl_corr
2019-08-23 11:00:00,65.042,13.076,67.646,3.155,2.604
2019-08-23 12:00:00,65.152,9.669,67.88,1.439,2.72799999999999
2019-08-23 13:00:00,65.168,8.382,67.924,1.656,2.756
2019-08-23 14:00:00,65.193,8.082,67.925,1.221,2.732
2019-08-23 15:00:00,65.285,6.978,67.977,0.343,2.69200000000001
2019-08-23 16:00:00,65.274,6.37,68.025,0.232,2.751
2019-08-23 17:00:00,65.305,5.86,67.98,0.453,2.675
2019-08-23 18:00:00,65.271,5.655,67.865,0.453,2.59399999999999
2019-08-23 19:00:00,65.253,5.244,67.903,0.453,2.65000000000001
2019-08-23 20:00:00,65.242,5.244,67.798,0.343,2.556
2019-08-23 21:00:00,65.22,5.141,67.733,0.343,2.51300000000001
2019-08-23 22:00:00,65.226,4.934,67.737,0.453,2.511
2019-08-23 23:00:00,65.204,4.831,67.749,0.453,2.545
2019-08-24 00:00:00,65.223,4.727,67.621,0.453,2.398
2019-08-24 01:00:00,65.188,4.519,67.647,0.453,2.459
2019-08-24 02:00:00,65.205,4.311,67.644,0.343,2.43900000000001
2019-08-24 03:00:00,65.213,4.207,67.644,0.343,2.43100000000001
2019-08-24 04:00:00,65.213,4.207,67.614,0.674,2.40100000000001
2019-08-24 05:00:00,65.244,4.207,67.668,1.221,2.42400000000001
2019-08-24 06:00:00,65.276,4.311,67.691,1.112,2.41500000000001
2019-08-24 07:00:00,65.293,4.102,67.787,0.893,2.494
2019-08-24 08:00:00,65.323,4.102,67.694,0.784,2.37100000000001
2019-08-24 09:00:00,65.245,4.831,67.609,2.303,2.36399999999999
2019-08-24 10:00:00,65.269,5.552,67.675,2.837,2.40599999999999
2019-08-24 11:00:00,65.235,5.962,67.593,2.195,2.358
2019-08-24 12:00:00,65.233,6.37,67.686,2.303,2.453
2019-08-24 13:00:00,65.231,6.268,67.742,1.548,2.51100000000001
2019-08-24 14:00:00,65.351,5.552,67.932,0.121,2.581
2019-08-24 15:00:00,65.363,5.655,67.858,0.674,2.495
2019-08-24 16:00:00,65.388,5.347,67.836,0.343,2.44799999999999
2019-08-24 17:00:00,65.435,4.623,67.871,0.232,2.43599999999999
2019-08-24 18:00:00,65.425,4.623,67.862,0.343,2.437
2019-08-24 19:00:00,65.378,4.311,67.794,0.232,2.416
2019-08-24 20:00:00,65.362,3.998,67.791,0.121,2.429
2019-08-24 21:00:00,65.355,3.578,67.778,0.121,2.423
2019-08-24 22:00:00,65.308,3.261,67.727,0.121,2.419
2019-08-24 23:00:00,65.285,3.155,67.74,0.121,2.455
2019-08-25 00:00:00,65.269,2.837,67.65,0.121,2.381
2019-08-25 01:00:00,65.255,2.624,67.57,0.01,2.315
2019-08-25 02:00:00,65.249,2.303,67.609,0.01,2.36
2019-08-25 03:00:00,65.284,1.98,67.625,0.121,2.34099999999999
2019-08-25 04:00:00,65.305,1.98,67.628,0.232,2.32299999999999
2019-08-25 05:00:00,65.31,2.303,67.633,0.893,2.32299999999999
2019-08-25 06:00:00,65.31,2.837,67.642,1.656,2.33199999999999
2019-08-25 07:00:00,65.302,3.472,67.692,2.517,2.38999999999999
2019-08-25 08:00:00,65.294,4.727,67.697,3.155,2.40300000000001
2019-08-25 09:00:00,65.291,5.655,67.709,3.578,2.41800000000001
2019-08-25 10:00:00,65.298,6.573,67.766,3.788,2.468
2019-08-25 11:00:00,65.273,7.983,67.841,3.683,2.568
2019-08-25 12:00:00,65.277,8.182,67.912,3.049,2.63500000000001
2019-08-25 13:00:00,65.315,8.581,68.094,2.195,2.779
2019-08-25 14:00:00,65.335,9.077,68.043,1.764,2.70800000000001
